Symbol,Side,Qty,Fill Price,Commission,Closing Time
$CASH,Deposit,500000.0,,0,2025-09-28 0:00:00
NASDAQ:QQQ,Buy,10.0,603.67,,2025-10-02 11:40:00
NASDAQ:ASA,Buy,400.0,45.52,,2025-10-03 11:01:00
NASDAQ:STRL,Buy,100.0,358.95,,2025-10-06 09:44:00
NASDAQ:FDEM,Buy,392.0,30.61,,2025-10-06 11:01:00
NASDAQ:NVDA,Buy,100.0,185.97,,2025-10-06 13:34:00
NASDAQ:GE,Buy,30.0,297.17,,2025-10-06 13:40:00
NASDAQ:FDEM,Sell,392.0,30.5,,2025-10-06 15:55:00
NASDAQ:QQQ,Sell,10.0,605.04,,2025-10-07 12:36:00
NASDAQ:QQQ,Buy,20.0,605.07,,2025-10-07 12:36:00
NASDAQ:STRL,Sell,28.0,355.63,,2025-10-08 10:33:00
NASDAQ:MSFT,Buy,14.0,523.99,,2025-10-08 12:50:00
NASDAQ:STRL,Sell,22.0,359.61,,2025-10-08 12:56:00
NASDAQ:EOSE,Buy,200.0,14.91,,2025-10-09 09:32:00
NASDAQ:DRD,Buy,100.0,28.28,,2025-10-09 12:36:00
NASDAQ:DRD,Buy,233.0,29.24,,2025-10-14 12:09:00
NASDAQ:ANET,Buy,100.0,147.2,,2025-10-16 13:36:00
NASDAQ:MP,Buy,100.0,83.92,,2025-10-16 15:14:00
NASDAQ:AGX,Buy,55.0,299.73,,2025-10-16 15:21:00
NASDAQ:C,Buy,210.0,96.66,,2025-10-17 11:31:00
NASDAQ:AGX,Dividend,27.5,,,2025-10-23 00:00:00
NASDAQ:MP,Sell,100.0,61.94,,2025-10-31 13:20:00
NASDAQ:C,Dividend,126.0,,,2025-11-03 00:00:00
NASDAQ:NVT,Buy,178.0,111.99,,2025-11-10 10:33:00
NASDAQ:B-T-6.250-15052030,Buy,37.0,1045.8384,,2025-11-10 13:18:00
TSX:K,Buy,308.0,36.71,,2025-11-13 09:45:00
NASDAQ:B-T-6.250-15052030,Dividend,1156.25,,,2025-11-15 18:21:00
TSE:7936,Buy,859.0,3744.0,,2025-11-21 06:01:00
TSE:1909,Buy,303.0,7990.0,,2025-11-21 06:01:00
NASDAQ:CMI,Buy,42.0,482.0,,2025-11-24 09:32:00
NASDAQ:LCTU,Buy,278.0,72.16,,2025-11-24 09:32:00
TSX:K,Dividend,10.7694,,,2025-11-26 00:00:00
NASDAQ:ELA,Buy,578.0,11.71,,2025-12-01 09:34:00
NASDAQ:PRIM,Buy,153.0,124.15,,2025-12-01 09:34:00
TSE:8053,Buy,640.0,4846.0,,2025-12-02 06:00:00
NASDAQ:XYL,Buy,142.0,141.48,,2025-12-05 09:30:00
NASDAQ:APH,Buy,143.0,139.9,,2025-12-05 09:30:00
NASDAQ:WLDN,Buy,190.0,104.35,,2025-12-05 10:45:00
LSE:HWC,Buy,200.0,63.06,,2025-12-05 11:49:00
NASDAQ:TMO,Buy,28.0,572.91,,2025-12-05 12:05:00
NASDAQ:NWPX,Buy,312.0,59.89,,2025-12-05 12:06:00
NASDAQ:GOOGL,Buy,50.0,321.47,,2025-12-05 12:09:00
NASDAQ:WTS,Buy,66.0,272.26,,2025-12-05 13:20:00
NASDAQ:CSGS,Buy,256.0,77.28,,2025-12-05 13:22:00
NASDAQ:ARI,Buy,4.0,10.11,,2025-12-05 15:18:00
$CASH,Taxes and fees,985.0,,,2025-12-13 0:00:00
